-DOCSTART- -X- -X- O
you PRP X O
will MD X O
be VB X O
asked VBN X O
to TO X O
provide VB X O
documented JJ X O
evidence NN X O
of IN X O
eligibility NN X O

A DT X O
willing JJ X B-Skill
to TO X I-Skill
suggest VB X I-Skill
technical JJ X I-Skill
improvements NNS X I-Skill
within IN X I-Skill
developed VBN X I-Skill
software NN X I-Skill
applications NNS X I-Skill
. . X O

Job NNP X O
Title NNP X O
; : X O
iOS VBZ X B-Occupation
Developer NNP X I-Occupation
Exciting NNP X O
new JJ X O
projects NNS X O
Reading NNP X B-Skill
, , X O
Berks NNP X B-Skill
Skills NNP X O
for IN X O
the DT X O
iOS JJ X O
Developer NN X O
: : X O

Candidates NNS X O
will MD X O
ideally RB X O
have VB X O
Although IN X O
not RB X O
essential JJ X O
: : X O
Experience NN X O
as IN X O
an DT X O
online NN X B-Skill
/ NN X O
mobile JJ X B-Skill
UX NNP X I-Skill
designer NN X I-Skill
Experience NNP X O
of IN X O
information NN X B-Skill

The DT X O
Company NN X O
: : X O
This DT X O
European JJ X O
giant NN X O
has VBZ X O
had VBN X O
phenomenal JJ X O
success NN X O
in IN X O
this DT X O
large JJ X O
market NN X B-Domain
sector NN X O
for IN X O
over IN X O
fifty JJ X O
years NNS X O
. . X O

This DT X O
individual NN X O
will MD X O
work VB X O
with IN X O
other JJ X O
more JJR X O
experienced JJ X B-Skill
web NN X B-Occupation
developers NNS X I-Occupation
to TO X O
deliver VB X O
best JJS X O
practice NN X O
web NN X O
solutions NNS X O
using VBG X O
the DT X O
Microsoft NNP X B-Skill
stack NN X I-Skill
and CC X O
contribute NN X O
to TO X O
ongoing VBG X O
process NN X O
improvement NN X O
. . X O

In IN X O
this DT X O
role NN X O
you PRP X O
will MD X O
build VB X B-Skill
on IN X I-Skill
new JJ X I-Skill
and CC X I-Skill
existing VBG X I-Skill
relationships NNS X I-Skill
with IN X O
some DT X O
of IN X O
the DT X O
biggest JJS X O
engineering NN X O
firms NNS X O
in IN X O
the DT X O
UK NNP X O
and CC X O
high JJ X O
level NN X O
engineers NNS X O
. . X O

your PRP$ X O
CV NNP X O
immediately RB X O
White NNP X O
Recruitment NNP X O
Ltd NNP X O
is VBZ X O
acting VBG X O
as IN X O
an DT X O
Employment NNP X O
Agency NNP X O
in IN X O
relation NN X O
to TO X O
this DT X O
vacancy NN X O

Ensure NN X B-Skill
all DT X I-Skill
risk NN X I-Skill
information NN X I-Skill
across IN X I-Skill
the DT X I-Skill
group NN X I-Skill
is VBZ X I-Skill
consistent JJ X I-Skill
and CC X I-Skill
reported VBD X I-Skill
in IN X I-Skill
a DT X I-Skill
clear JJ X I-Skill
and CC X I-Skill
timely JJ X I-Skill
fashion NN X I-Skill
Prepare NNP X I-Skill
and CC X I-Skill
contribute NN X I-Skill
to TO X I-Skill
ICAAP NNP X I-Skill
preparation NN X I-Skill
Run NNP X I-Skill
risk NN X I-Skill
scenarios NNS X I-Skill
with IN X I-Skill
Exec NNP X I-Skill
team NN X I-Skill
to TO X I-Skill
challenge VB X I-Skill
and CC X I-Skill
analyse VB X I-Skill
risk NN X I-Skill
assumptions NNS X I-Skill
Input NNP X I-Skill
strongly RB X I-Skill
to TO X I-Skill
the DT X I-Skill
ICAAP NNP X I-Skill
process NN X I-Skill
Provide NNP X I-Skill
support NN X I-Skill
and CC X I-Skill
guidance NN X I-Skill
to TO X I-Skill
all DT X I-Skill
staff NN X I-Skill
on IN X I-Skill
risk NN X I-Skill
and CC X I-Skill
governance NN X I-Skill
issues NNS X I-Skill
Contribute NNP X I-Skill
to TO X I-Skill
and CC X I-Skill
develop VB X I-Skill
the DT X I-Skill
Operational NNP X I-Skill
Risk NNP X I-Skill
management NN X I-Skill
strategy NN X I-Skill
for IN X O
the DT X O
Group NNP X O
Key NNP X O
Skills NNP X O
Required NNP X O
Risk NNP X B-Skill
management NN X I-Skill
experience NN X I-Skill
including VBG X I-Skill
Risk NNP X I-Skill
Identification NNP X I-Skill
, , X O
Risk NNP X B-Skill
Analysis NNP X I-Skill
and CC X I-Skill
Risk NNP X I-Skill
Reporting NNP X I-Skill
in IN X I-Skill
a DT X I-Skill
regulated JJ X I-Skill
Financial NNP X I-Skill
Services NNPS X I-Skill
company NN X I-Skill
Experience NNP X I-Skill
of IN X I-Skill
managing VBG X I-Skill
risk NN X I-Skill
in IN X I-Skill
a DT X I-Skill
formal JJ X I-Skill
governance NN X I-Skill
environment NN X I-Skill
, , X O
risk NN X B-Skill
committees NNS X I-Skill
, , X O
risk NN X B-Skill
workshops NNS X I-Skill
, , X O
control NN X B-Skill
risk NN X I-Skill
self NN X I-Skill
assessments NNS X I-Skill
and CC X I-Skill
capital NN X I-Skill
management NN X I-Skill
Understanding NNP X I-Skill
of IN X I-Skill
risk NN X I-Skill
concepts NNS X I-Skill
Inherent NNP X I-Skill
risk NN X I-Skill
, , X O
residual JJ X B-Skill
risk NN X I-Skill
, , X O
control NN X B-Skill
design NN X I-Skill
, , X O
control NN X B-Skill
implementation NN X I-Skill
, , X O
KRIs NNP X B-Skill
, , X O
Capital NNP X B-Skill
Adequacy NNP X I-Skill
, , X O
risk NN X B-Skill
mitigation NN X I-Skill
etc FW X I-Skill
Familiar NNP X I-Skill
with IN X I-Skill
the DT X I-Skill
reporting NN X I-Skill
requirements NNS X I-Skill
of IN X I-Skill
a DT X I-Skill
risk NN X I-Skill
committee NN X I-Skill
including VBG X I-Skill
risk NN X I-Skill
appetite NN X I-Skill
assessment NN X I-Skill
, , X O
key JJ X B-Skill
risk NN X I-Skill
indicators NNS X I-Skill
and CC X I-Skill
risk NN X I-Skill
tolerance NN X I-Skill
management NN X I-Skill
Experience NN X I-Skill
of IN X I-Skill
implementing VBG X I-Skill
an DT X I-Skill
ICAAP NNP X I-Skill
/ NNP X O
ICA NNP X B-Skill
process NN X I-Skill
, , X O
including VBG X B-Skill
risk NN X I-Skill
scenario NN X I-Skill
generation NN X I-Skill
and CC X I-Skill
capital NN X I-Skill
monitoring NN X I-Skill
, , X O
stress JJ X B-Skill
testing NN X I-Skill
and CC X I-Skill
Pillar NNP X I-Skill
I PRP X I-Skill
, , X O
II NNP X B-Skill
and CC X I-Skill
III NNP X I-Skill

Any DT X O
other JJ X O
payroll NN X B-Skill
duties NNS X I-Skill
as IN X O
required VBN X O
by IN X O
the DT X O
business NN X O
. . X O

Your PRP$ X O
remit NN X O
will MD X O
be VB X O
to TO X O
ensure VB X O
delivery NN X O
, , X O
growth NN X O
and CC X O
profitable JJ X O
results NNS X O
for IN X O
the DT X O
client NN X O
, , X O
whilst JJ X O
driving VBG X B-Skill
forward JJ X I-Skill
innovation NN X I-Skill
in IN X I-Skill
strategic JJ X I-Skill
thinking NN X I-Skill
. . X O

My PRP$ X O
client NN X O
is VBZ X O
an DT X O
established VBN X O
, , X O
global JJ X B-Domain
business NN X I-Domain
that WDT X O
is VBZ X O
pushing VBG X O
for IN X O
growth NN X O
in IN X O
new JJ X B-Domain
markets NNS X I-Domain
with IN X O
a DT X O
product NN X O
range NN X O
that WDT X O
is VBZ X O
in IN X O
it PRP X O
s VBD X O
early JJ X O
stages NNS X O
of IN X O
development NN X B-Domain
but CC X O
about IN X O
to TO X O
expand VB X O
very RB X O
rapidly RB X O
. . X O

The DT X O
Senior NNP X B-Occupation
. . X O
NET NNP X B-Occupation
Developer NNP X I-Occupation
Position NNP X O
AS IN X O
a DT X O
Senior NNP X O
. . X O
NET NNP X O
Developer NNP X O
you PRP X O
will MD X O
be VB X O
working VBG X B-Skill
in IN X I-Skill
a DT X I-Skill
fastpaced JJ X I-Skill
environment NN X I-Skill
using VBG X O
the DT X O
latest JJS X O
technologies NNS X O
to TO X O
deliver VB X B-Skill
bespoke JJ X I-Skill
solutions NNS X I-Skill
to TO X I-Skill
customers NNS X I-Skill
. . X O

Full JJ X O
Time NNP X O
, , X O
Permanent NNP X O
Motor NNP X O
Trade NNP X O
Jobs NNP X O
/ NNP X O
Automotive NNP X B-Domain
Vacancies NNS X O
: : X O
Automotive NNP X B-Occupation
Business NNP X I-Occupation
Manager NNP X I-Occupation
required VBD X O
in IN X O
Kidderminster NNP X O
. . X O

Leeds NNP X O
Centre NNP X O
for IN X O
Integrated NNP X B-Domain
Living NNP X I-Domain
is VBZ X O
a DT X O
Social NNP X O
Enterprise NNP X O
that WDT X O
helps VBZ X B-Skill
disabled VBN X I-Skill
and CC X I-Skill
older JJR X I-Skill
people NNS X I-Skill
to TO X O
set VB X B-Skill
up RP X I-Skill
and CC X I-Skill
manage VB X I-Skill
their PRP$ X I-Skill
own JJ X I-Skill
personal JJ X I-Skill
support NN X I-Skill
services NNS X I-Skill
. . X O

Company NN X O
: : X O
This DT X O
is VBZ X O
a DT X O
very RB X O
popular JJ X O
vibrant NN X O
restaurant NN X O
serving VBG X O
fresh JJ X O
seasonal JJ X O
British JJ X O
cuisine NN X O
created VBN X O
by IN X O
a DT X O
very RB X O
well RB X O
known VBN X O
award NN X O
winning VBG X O
Head NNP X O
Chef NNP X O
. . X O

Experience NN X B-Skill
of IN X I-Skill
working VBG X I-Skill
within IN X I-Skill
a DT X I-Skill
Digital NNP X I-Skill
Agency NNP X I-Skill
in IN X I-Skill
an DT X I-Skill
Account NNP X I-Skill
handling NN X I-Skill
function NN X I-Skill

To TO X O
be VB X O
considered VBN X O
for IN X O
the DT X O
role NN X O
, , X O
you PRP X O
must MD X O
have VB X O
experience NN X B-Skill
on IN X I-Skill
large JJ X I-Skill
consumer NN X I-Skill
brands NNS X I-Skill
and CC X O
have VBP X B-Skill
been VBN X I-Skill
working VBG X I-Skill
on IN X I-Skill
successful JJ X I-Skill
social JJ X I-Skill
media NNS X I-Skill
campaigns NNS X I-Skill
. . X O

Electronic JJ X O
Security NNP X O
Systems NNP X O
Installer NNP X O
is VBZ X O
currently RB X O
looking VBG X O
for IN X O
an DT X O
experiened JJ X B-Skill
Installation NNP X B-Occupation
Engineer NNP X I-Occupation
to TO X O
join VB X O
the DT X O
team NN X O
. . X O

A DT X O
high JJ X O
degree NN X O
of IN X O
flexibility NN X O
and CC X O
ability NN X O
to TO X O
form VB X B-Skill
part NN X I-Skill
of IN X I-Skill
a DT X I-Skill
call NN X I-Skill
out RP X I-Skill
rota NN X I-Skill
Excellent NNP X O
interpersonal JJ X B-Skill
skills NNS X I-Skill
. . X O

Due JJ X O
to TO X O
the DT X O
popularity NN X O
of IN X O
this DT X O
venue NN X O
it PRP X O
is VBZ X O
also RB X O
essential JJ X O
that IN X O
all DT X O
applicants NNS X O
are VBP X O
used VBN X O
to TO X O
managing VBG X B-Skill
a DT X I-Skill
high JJ X I-Skill
volume NN X I-Skill
but CC X I-Skill
all DT X I-Skill
fresh JJ X I-Skill
kitchen NN X I-Skill
. . X O

The DT X O
project NN X O
work NN X O
undertaken JJ X O
varies NNS X O
in IN X O
size NN X O
from IN X O
minor JJ X O
works NNS X O
to TO X O
full JJ X O
scale NN X O
greenfield NN X B-Skill
development NN X I-Skill
projects NNS X I-Skill
. . X O

You PRP X O
' '' X O
ll JJ X O
be VB X O
joining VBG X O
a DT X O
small JJ X O
entrepreneurial JJ X O
team NN X O
with IN X O
a DT X O
startup JJ X O
mentality NN X O
so IN X O
you PRP X O
will MD X O
be VB X O
expected VBN X O
to TO X O
have VB X O
wide JJ X B-Skill
ranging VBG X I-Skill
skills NNS X I-Skill
, , X O
energy NN X B-Skill
and CC X O
desire NN X B-Skill
to TO X I-Skill
turn VB X I-Skill
your PRP$ X I-Skill
hand NN X I-Skill
to TO X I-Skill
whatever WDT X I-Skill
is VBZ X I-Skill
necessary JJ X I-Skill
to TO X I-Skill
create VB X I-Skill
success NN X I-Skill
for IN X I-Skill
our PRP$ X I-Skill
business NN X I-Skill
. . X O

This DT X O
is VBZ X O
a DT X O
new JJ X O
position NN X O
within IN X O
a DT X O
local JJ X O
business NN X O
that WDT X O
has VBZ X O
been VBN X O
created VBN X O
to TO X O
place VB X B-Skill
a DT X I-Skill
new JJ X I-Skill
emphasis NN X I-Skill
on IN X I-Skill
the DT X I-Skill
businesses NNS X I-Skill
procurement JJ X I-Skill
strategy NN X I-Skill
. . X O

PAS NNP X B-Skill
, , X O
a DT X O
complex JJ X B-Skill
data NN X I-Skill
system NN X I-Skill
to TO X I-Skill
plan NN X I-Skill
and CC X I-Skill
implement JJ X I-Skill
PAS NNP X I-Skill
software NN X I-Skill
releases NNS X I-Skill
and CC X I-Skill
updates NNS X I-Skill
. . X O

Role NNP X O
/ JJ X O
Candidate NNP X O
: : X O
The DT X O
Ideal NNP X O
candidate NN X O
will MD X O
have VB X O
previous JJ X O
Sous NNP X B-Occupation
Chef NNP X I-Occupation
experience NN X B-Skill
with IN X O
in IN X O
a DT X O
similar JJ X O
operation NN X O
/ NNP X O
Ability NNP X O
to TO X O
create VB X B-Skill
new JJ X I-Skill
and CC X I-Skill
exciting JJ X I-Skill
dishes NNS X I-Skill
/ VBP X O
Menu NNP X B-Skill
planning NN X I-Skill
/ NNP X O
Menu NNP X B-Skill
input NN X O
/ NNP X O
Working NNP X B-Skill
closely RB X I-Skill
with IN X I-Skill
the DT X I-Skill
Head NNP X B-Occupation
chef NN X I-Occupation
/ NN X O
Running VBG X B-Skill
kitchen NN X I-Skill
in IN X I-Skill
absence NN X I-Skill
of IN X I-Skill
Head NNP X B-Occupation
Chef NNP X I-Occupation
/ NNP X O
Good NNP X O
stock NN X B-Skill
control NN X I-Skill
management NN X I-Skill
/ NNP X O
Ability NNP X O
to TO X O
lead VB X B-Skill
and CC X I-Skill
manage VB X I-Skill
the DT X I-Skill
junior JJ X I-Skill
Chefs NNP X I-Skill
/ NNP X O
Good NNP X O
Health NNP X B-Skill
& CC X I-Skill
Safety NNP X I-Skill
record NN X I-Skill
/ NNP X O
stock NN X B-Skill
management NN X I-Skill
/ VBD X O
Liaising VBG X B-Skill
with IN X I-Skill
suppliers NNS X I-Skill
Salary NNP X O
& CC X O
Benefits NNS X O
: : X O

You PRP X O
may MD X O
be VB X O
asked VBN X O
to TO X O
drive VB X B-Skill
various JJ X I-Skill
types NNS X I-Skill
of IN X I-Skill
Class NNP X I-Skill
1 CD X I-Skill
vehicles NNS X I-Skill
including VBG X O
vehicles NNS X O
with IN X O
Floating VBG X O
Floors NNS X O
. . X O

You PRP X O
will MD X O
need VB X O
to TO X O
be VB X O
able JJ X O
to TO X O
forge VB X B-Skill
strong JJ X I-Skill
relationships NNS X I-Skill
with IN X I-Skill
the DT X I-Skill
local JJ X I-Skill
business NN X I-Skill
community NN X I-Skill
and CC X O
be VB X O
able JJ X O
to TO X O
build VB X B-Skill
sales NNS X I-Skill
. . X O

ABOUT NNP X O
HARNHAM NNP X O
Harnham NNP X O
Search NNP X O
and CC X O
Selection NNP X O
are VBP X O
specialists NNS X O
in IN X O
recruiting VBG X O
within IN X O
niche NN X O
areas NNS X O
of IN X O
Statistical NNP X B-Domain
Analytical NNP X I-Domain
, , X O
Credit NNP X B-Domain
Risk NNP X I-Domain
, , X O
Business NNP X B-Domain
Intelligence NNP X I-Domain
and CC X O
IT NNP X B-Domain
employment NN X O
markets NNS X O
where WRB X O
many JJ X O
businesses NNS X O
find VBP X O
hiring JJ X O
quality NN X O
employees NNS X O
a DT X O
challenge NN X O
. . X O

You PRP X O
will MD X O
have VB X O
experience NN X B-Skill
in IN X I-Skill
high JJ X I-Skill
volume NN X I-Skill
as RB X I-Skill
well RB X I-Skill
as IN X I-Skill
restaurant NN X I-Skill
, , X O
bar NN X B-Skill
and CC X I-Skill
room NN X I-Skill
service NN X I-Skill
outlets NNS X I-Skill
. . X O

Our PRP$ X O
client NN X O
is VBZ X O
a DT X O
well RB X O
established VBN X O
independent JJ X O
estate NN X O
agent NN X O
, , X O
with IN X O
an DT X O
excellent JJ X O
reputation NN X O
and CC X O
great JJ X O
office NN X O
atmosphere RB X O
. . X O

Have VBP X O
you PRP X O
been VBN X O
a DT X O
Java NNP X B-Occupation
developer NN X I-Occupation
for IN X O
several JJ X O
years NNS X O
, , X O
and CC X O
are VBP X O
building VBG X B-Skill
Android NNP X I-Skill
apps NN X I-Skill
in IN X O
your PRP$ X O
own JJ X O
time NN X O
? . X O

NIGHT NNP X B-Occupation
NURSE NNP X I-Occupation
, , X O
DARLINGTON NNP X O
Registered NNP X B-Skill
Mental NNP X I-Skill
Health NNP X I-Skill
Nurse NNP X I-Skill
RMN NNP X B-Qualification
or CC X O
Registered NNP X B-Occupation
General NNP X I-Occupation
Nurse NNP X I-Occupation

The DT X O
Sales NNS X B-Occupation
Executive NNP X I-Occupation
will MD X O
: : X O
Identify VB X B-Skill
new JJ X I-Skill
business NN X I-Skill
opportunities NNS X I-Skill
develop VBP X I-Skill
and CC X I-Skill
close JJ X I-Skill
new JJ X I-Skill
business NN X I-Skill
deals NNS X I-Skill
meet VBP X I-Skill
with IN X I-Skill
clients NNS X I-Skill
to TO X O
determine VB X O
requirements NNS X O
; : X O
work NN X B-Skill
with IN X I-Skill
clients NNS X I-Skill
to TO X O
define VB X O
the DT X O
scope NN X O
of IN X O
a DT X O
project NN X O
; : X O
maintain CC X B-Skill
and CC X I-Skill
develop VB X I-Skill
a DT X I-Skill
qualified JJ X I-Skill
pipeline NN X I-Skill
of IN X I-Skill
at IN X I-Skill
least JJS X I-Skill
4 CD X I-Skill
times NNS X I-Skill
the DT X I-Skill
target NN X I-Skill
maintain VB X I-Skill
a DT X I-Skill
full JJ X I-Skill
appointment NN X I-Skill
schedule NN X I-Skill
on IN X O
a DT X O
monthly JJ X O
basis NN X O
Bring NNP X O
innovation NN X B-Skill
and CC X I-Skill
ideas NNS X I-Skill
to TO X O
gain VB X B-Skill
interest NN X I-Skill
from IN X I-Skill
your PRP$ X I-Skill
targeted VBN X I-Skill
new JJ X I-Skill
business NN X I-Skill
prospects NNS X I-Skill

Any DT X O
experience NN X O
within IN X O
a DT X O
retail JJ X B-Domain
organisation NN X O
would MD X O
also RB X O
be VB X O
beneficial JJ X O
for IN X O
the DT X O
position NN X O
. . X O

The DT X O
successful JJ X O
Administrator NNP X B-Occupation
, , X O
will MD X O
have VB X O
: : X O
Experience NN X B-Skill
within IN X I-Skill
a DT X I-Skill
similar JJ X I-Skill
role NN X I-Skill
is VBZ X O
essential JJ X O
Attention NNP X B-Skill
to TO X I-Skill
detail VB X I-Skill
essential JJ X O
Ability NNP X B-Skill
to TO X I-Skill
work VB X I-Skill
towards NNS X I-Skill
tight JJ X I-Skill
deadlines NNS X I-Skill

They PRP X O
have VBP X O
15 CD X O
sites NNS X O
presently RB X O
and CC X O
are VBP X O
going VBG X O
to TO X O
be VB X O
doubling VBG X O
over IN X O
the DT X O
next JJ X O
few JJ X O
months NNS X O
They PRP X O
have VBP X O
recently RB X O
taken VBN X O
their PRP$ X O
brand NN X O
to TO X O
the DT X O
states NNS X O
They PRP X O
are VBP X O
looking VBG X O
for IN X O
a DT X O
fast JJ X B-Skill
and CC X O
friendly JJ X B-Skill
Restaurant NNP X B-Occupation
General NNP X I-Occupation
manager NN X I-Occupation
to TO X O
drive VB X B-Skill
the DT X I-Skill
profits NNS X I-Skill
control VBP X I-Skill
the DT X I-Skill
food NN X I-Skill
orders NNS X I-Skill
, , X O
keep VB X B-Skill
the DT X I-Skill
customers NNS X I-Skill
coming VBG X I-Skill
back RB X I-Skill
time NN X I-Skill
and CC X I-Skill
time NN X I-Skill
again RB X I-Skill
and CC X O
be VB X B-Skill
involved VBN X I-Skill
in IN X I-Skill
the DT X I-Skill
growth NN X I-Skill
of IN X I-Skill
this DT X I-Skill
new JJ X I-Skill
up RB X I-Skill
and CC X I-Skill
coming VBG X I-Skill
brand NN X I-Skill
. . X O

**** JJ X O
k NN X O
and CC X O
10M CD X O
. . X O
Due JJ X O
to TO X O
expansion NN X O
they PRP X O
are VBP X O
on IN X O
the DT X O
lookout NN X O
for IN X O
an DT X O
Estimator NN X B-Occupation
to TO X O
join VB X O
their PRP$ X O
East NNP X O
Sussex NNP X O
based VBN X O
Estimating NNP X O
team NN X O
. . X O

To TO X O
promote VB X B-Skill
the DT X I-Skill
ethos NN X I-Skill
of IN X I-Skill
the DT X I-Skill
cluster NN X I-Skill
team NN X I-Skill
health NN X I-Skill
and CC X I-Skill
safety NN X I-Skill
procedures NNS X I-Skill
with IN X I-Skill
regard NN X I-Skill
to TO X I-Skill
working VBG X I-Skill
off RP X I-Skill
site NN X I-Skill
. . X O

Other JJ X O
Key NNP X O
aspects NNS X O
of IN X O
the DT X O
Domiciliary NNP X B-Domain
Care NNP X I-Domain
/ NNP X O
Area NNP X O
Manager NNP X O
Position NNP X O
are VBP X O
to TO X O
ensure VB X B-Skill
that IN X I-Skill
services NNS X I-Skill
meet VB X I-Skill
CQC NNP X I-Skill
and CC X O
other JJ X O
regulatory JJ X O
obligations NNS X O
, , X O
develop VB X B-Skill
partnerships NNS X I-Skill
and CC X O
maintain VBP X B-Skill
effective JJ X I-Skill
relationships NNS X I-Skill
and CC X O
to TO X O
establish VB X B-Skill
, , X O
open JJ X B-Skill
and CC X I-Skill
grow JJ X I-Skill
additional JJ X I-Skill
branches NNS X I-Skill
The DT X O
Candidate NNP X O

A DT X O
solid JJ X O
background NN X O
in IN X O
C NNP X B-Skill
/ NNP X O
ASP NNP X B-Skill
. . X O
net NN X B-Skill
, , X O
Web NNP X B-Skill
forms NNS X I-Skill
development NN X I-Skill
is VBZ X O
essential JJ X O
too RB X O
, , X O
as IN X O
you PRP X O
will MD X O
take VB X O
a DT X O
leading JJ X O
hand NN X O
in IN X O
development NN X B-Skill
work NN X O
within IN X O
the DT X O
role NN X O
, , X O
but CC X O
the DT X O
